pid,Appliance_Type,Brand,kWh.yr,EER_Energy_Efficiency_Ratio,SEER_Seasonal_Energy_Efficiency_Ratio,Cooling_Capacity_BTUs,Energy_Star,Size,Product_Width_.in..,Product_Depth_.in..,Product_Height_.in..,Product_Volume_.cu._in..
04201601000P,Window Air Conditioners,Keystone,0,10.7,-,5200,No,18.5 in. W x 16.31 in. D x 12.5 in. H,18.5,16.31,12.5,3771.6875
04277125000P,Window Air Conditioners,Kenmore,917,10.4,-,11000,No,22.63 in. W x 23.3 in. D x 15.38 in. H,22.63,23.3,15.38,8109.55102
04233086000P,Accessories,No Brand,-,-,-,-,-,-,-,-,-,-
04299701000P,Air Purifiers & Dehumidifiers,Kenmore Elite,-,-,-,-,Yes,-,-,-,-,-
04239306000P,Water Softeners,Kenmore,-,-,-,-,-,-,-,-,-,-
04278902000P,Portable Air Conditioners,Royal Sovereign,-,-,-,12000,-,20.3 in. W x 14.6 in. D x 34.5 in. H,20.3,14.6,34.5,10225.11
04275180000P,Window Air Conditioners,Kenmore,1992,9.8,-,18000,Yes,26.5 in. W x 26.5 in. D x 18.63 in. H,26.5,26.5,18.63,13082.9175
04238376000P,Water Softeners,Kenmore,-,-,-,-,-,16.5 in. W x 19.75 in. D x 47.75 in. H,16.5,19.75,47.75,15560.53125
04250501000P,Air Purifiers & Dehumidifiers,Kenmore,-,-,-,-,Yes,-,-,-,-,-
04201025000P,Window Air Conditioners,Frigidaire,911,9.8,-,12000,No,22.625 in. W x 21.4 in. D x 15.375 in. H,22.625,21.4,15.375,7444.190625
04254701000P,Air Purifiers & Dehumidifiers,Kenmore,-,-,-,-,Yes,-,-,-,-,-
04279100000P,Portable Air Conditioners,Midea,-,8.9,-,10000,No,18.111 in. W x 28.54 in. D x 34.84 in. H,18.111,28.54,34.84,18008.37583
04201107000P,Window Air Conditioners,LG,0,9.7,-,11500,No,23.63 in. W x 25.37 in. D x 17.85 in. H,23.63,25.37,17.85,10700.95184
04201091000P,Portable Air Conditioners,Haier,10518,9.5,-,12000,No,17.8 in. W x 29.4 in. D x 15.3 in. H,17.8,29.4,15.3,8006.796
04298037000P,Portable Air Conditioners,Whynter SNO,-,-,-,12000,-,-,-,-,-,-
04201608000P,Portable Air Conditioners,Keystone,0,2.62,-,12000,No,17 in. W x 13.25 in. D x 27.75 in. H,17,13.25,27.75,6250.6875
04270151000P,Window Air Conditioners,Kenmore,1058,10.7,-,15000,No,23.63 in. W x 25.37 in. D x 17.85 in. H,23.63,25.37,17.85,10700.95184
04219123000P,Portable Air Conditioners,SPT,-,-,-,12000,No,16.5 in. W x 15.25 in. D x 30.5 in. H,16.5,15.25,30.5,7674.5625
04209181000P,Accessories,Kenmore,-,-,-,-,-,-,-,-,-,-
04201100000P,Window Air Conditioners,Haier,0,9.5,-,10000,Yes,18.32 in. W x 26.5 in. D x 24.5 in. H,18.32,26.5,24.5,11894.26
04201603000P,Window Air Conditioners,Keystone,0,9.7,-,8000,No,18.44 in. W x 20.88 in. D x 13.88 in. H,18.44,20.88,13.88,5344.177536
04201602000P,Window Air Conditioners,Keystone,0,10.7,-,6000,Yes,16.25 in. W x 15.75 in. D x 12.5 in. H,16.25,15.75,12.5,3199.21875
04219122000P,Portable Air Conditioners,SPT,-,-,-,12000,No,15.75 in. W x 15.5 in. D x 30.5 in. H,15.75,15.5,30.5,7445.8125
04270121000P,Window Air Conditioners,Kenmore,833,10.8,-,12000,Yes,19 in. W x 21.6 in. D x 14.4 in. H,19,21.6,14.4,5909.76
04240026000P,Portable Air Conditioners,Frigidaire,0,8.7,-,12000,No,20 in. W x 16.75 in. D x 32 in. H,20,16.75,32,10720
04201070000P,Portable Air Conditioners,Frigidaire,0,8.5,-,7000,No,20 in. W x 16.75 in. D x 32 in. H,20,16.75,32,10720
04298040000P,Portable Air Conditioners,Whynter SNO,-,-,-,13000,-,-,-,-,-,-
04270181000P,Window Air Conditioners,Kenmore,1295,10.7,-,18000,No,23.63 in. W x 25.37 in. D x 17.85 in. H,23.63,25.37,17.85,10700.95184
04201044000P,Window Air Conditioners,Frigidaire,417,11.2,-,10000,Yes,23.625 in. W x 18 in. D x 12.25 in. H,23.625,18,12.25,5209.3125
04202038000P,Thermostats & Accessories,LG,-,-,-,-,No,4.97 in. W x 3.36 in. D x 5.12 in. H,4.97,3.36,5.12,85.499904
04201118000P,Window Air Conditioners,Sharp,575,10.5,-,6000,No,14.18 in. W x 23 in. D x 20.25 in. H,14.18,23,20.25,6604.335
04234381000P,Accessories,Kenmore,-,-,-,-,-,-,-,-,-,-
04280009000P,Accessories,Frigidaire,-,-,-,-,-,-,-,-,-,-
04291998000P,Window Air Conditioners,Frigidaire,0,9.8,-,8000,No,18.5 in. W x 15.5 in. D x 13.4 in. H,18.5,15.5,13.4,3842.45
04234825000P,Water Coolers & Filter Systems,Kenmore,-,-,-,-,-,-,-,-,-,-
04233105000P,Accessories,Kenmore,-,-,-,-,-,-,-,-,-,-
04271063000P,Window Air Conditioners,Kenmore,0,10.7,-,6000,No,16.25 in. W x 15.75 in. D x 12.5 in. H,16.25,15.75,12.5,3199.21875
